id,type,name,status,description,epic,duration,startTime
1,TASK,Ужаснуться,NEW,Поседеть от ТЗ третьего спринта,,25,01:00 01.01.2022,
2,TASK,Расшифровка,NEW,Расшифровать задуманное задание,,25,02:00 01.01.2022,
3,EPIC,Сделать Финальный проект,NEW,Переписать прогу в 4ый раз,,125,03:00 01.01.2022,
4,SUBTASK,Удалить,NEW,Удалить уже готовый консольный шедевр,3,25,03:00 01.01.2022,
5,SUBTASK,Осознать суть,NEW,Понять что она должна передавать объект,3,25,04:00 01.01.2022,
6,SUBTASK,Превозмочь,NEW,Проломить все стены своей головой,3,25,05:00 01.01.2022,
7,SUBTASK,Закончить,NEW,Написать очередной шедевр,3,25,06:00 01.01.2022,
8,SUBTASK,Ревью,NEW,Сдать на ревью,3,25,07:00 01.01.2022,
9,EPIC,Благодарность,NEW,Поблагодарить Сергея за прекрасное ревью,,0,0,
10,TASK,Ужаснуться,NEW,Поседеть от ТЗ третьего спринта,,25,01:00 01.01.2022,
11,TASK,Расшифровка,NEW,Расшифровать задуманное задание,,25,02:00 01.01.2022,
12,EPIC,Сделать Финальный проект,NEW,Переписать прогу в 4ый раз,,125,03:00 01.01.2022,
13,SUBTASK,Удалить,NEW,Удалить уже готовый консольный шедевр,12,25,03:00 01.01.2022,
14,SUBTASK,Осознать суть,NEW,Понять что она должна передавать объект,12,25,04:00 01.01.2022,
15,SUBTASK,Превозмочь,NEW,Проломить все стены своей головой,12,25,05:00 01.01.2022,
16,SUBTASK,Закончить,NEW,Написать очередной шедевр,12,25,06:00 01.01.2022,
17,SUBTASK,Ревью,NEW,Сдать на ревью,12,25,07:00 01.01.2022,
18,EPIC,Благодарность,NEW,Поблагодарить Сергея за прекрасное ревью,,0,0,
19,TASK,Ужаснуться,NEW,Поседеть от ТЗ третьего спринта,,25,01:00 01.01.2022,
20,TASK,Расшифровка,NEW,Расшифровать задуманное задание,,25,02:00 01.01.2022,
21,EPIC,Сделать Финальный проект,NEW,Переписать прогу в 4ый раз,,125,03:00 01.01.2022,
22,SUBTASK,Удалить,NEW,Удалить уже готовый консольный шедевр,21,25,03:00 01.01.2022,
23,SUBTASK,Осознать суть,NEW,Понять что она должна передавать объект,21,25,04:00 01.01.2022,
24,SUBTASK,Превозмочь,NEW,Проломить все стены своей головой,21,25,05:00 01.01.2022,
25,SUBTASK,Закончить,NEW,Написать очередной шедевр,21,25,06:00 01.01.2022,
26,SUBTASK,Ревью,NEW,Сдать на ревью,21,25,07:00 01.01.2022,
27,EPIC,Благодарность,NEW,Поблагодарить Сергея за прекрасное ревью,,0,0,

1,2,3,9,4,
